index,status,audio_path,token_path,metadata_path,tokenizer,sample_rate,duration_sec,n_mels,hop_length,n_fft,vocab_size,codes_shape
1,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000002.mp3,outputs/generated/teaching_codec_tokens/000002.tokens.pt,outputs/generated/teaching_codec_tokens/000002.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
2,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000005.mp3,outputs/generated/teaching_codec_tokens/000005.tokens.pt,outputs/generated/teaching_codec_tokens/000005.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
3,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000010.mp3,outputs/generated/teaching_codec_tokens/000010.tokens.pt,outputs/generated/teaching_codec_tokens/000010.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
4,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000140.mp3,outputs/generated/teaching_codec_tokens/000140.tokens.pt,outputs/generated/teaching_codec_tokens/000140.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
5,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000141.mp3,outputs/generated/teaching_codec_tokens/000141.tokens.pt,outputs/generated/teaching_codec_tokens/000141.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
6,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000148.mp3,outputs/generated/teaching_codec_tokens/000148.tokens.pt,outputs/generated/teaching_codec_tokens/000148.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
7,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000182.mp3,outputs/generated/teaching_codec_tokens/000182.tokens.pt,outputs/generated/teaching_codec_tokens/000182.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
8,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000190.mp3,outputs/generated/teaching_codec_tokens/000190.tokens.pt,outputs/generated/teaching_codec_tokens/000190.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
9,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000193.mp3,outputs/generated/teaching_codec_tokens/000193.tokens.pt,outputs/generated/teaching_codec_tokens/000193.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
10,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000194.mp3,outputs/generated/teaching_codec_tokens/000194.tokens.pt,outputs/generated/teaching_codec_tokens/000194.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
11,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000197.mp3,outputs/generated/teaching_codec_tokens/000197.tokens.pt,outputs/generated/teaching_codec_tokens/000197.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
12,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000200.mp3,outputs/generated/teaching_codec_tokens/000200.tokens.pt,outputs/generated/teaching_codec_tokens/000200.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
13,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000203.mp3,outputs/generated/teaching_codec_tokens/000203.tokens.pt,outputs/generated/teaching_codec_tokens/000203.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
14,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000204.mp3,outputs/generated/teaching_codec_tokens/000204.tokens.pt,outputs/generated/teaching_codec_tokens/000204.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
15,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000207.mp3,outputs/generated/teaching_codec_tokens/000207.tokens.pt,outputs/generated/teaching_codec_tokens/000207.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
16,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000210.mp3,outputs/generated/teaching_codec_tokens/000210.tokens.pt,outputs/generated/teaching_codec_tokens/000210.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
17,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000211.mp3,outputs/generated/teaching_codec_tokens/000211.tokens.pt,outputs/generated/teaching_codec_tokens/000211.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
18,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000212.mp3,outputs/generated/teaching_codec_tokens/000212.tokens.pt,outputs/generated/teaching_codec_tokens/000212.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
19,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000213.mp3,outputs/generated/teaching_codec_tokens/000213.tokens.pt,outputs/generated/teaching_codec_tokens/000213.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
20,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000255.mp3,outputs/generated/teaching_codec_tokens/000255.tokens.pt,outputs/generated/teaching_codec_tokens/000255.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
21,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000256.mp3,outputs/generated/teaching_codec_tokens/000256.tokens.pt,outputs/generated/teaching_codec_tokens/000256.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
22,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000368.mp3,outputs/generated/teaching_codec_tokens/000368.tokens.pt,outputs/generated/teaching_codec_tokens/000368.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
23,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000424.mp3,outputs/generated/teaching_codec_tokens/000424.tokens.pt,outputs/generated/teaching_codec_tokens/000424.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
24,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000459.mp3,outputs/generated/teaching_codec_tokens/000459.tokens.pt,outputs/generated/teaching_codec_tokens/000459.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
25,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000534.mp3,outputs/generated/teaching_codec_tokens/000534.tokens.pt,outputs/generated/teaching_codec_tokens/000534.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
26,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000540.mp3,outputs/generated/teaching_codec_tokens/000540.tokens.pt,outputs/generated/teaching_codec_tokens/000540.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
27,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000546.mp3,outputs/generated/teaching_codec_tokens/000546.tokens.pt,outputs/generated/teaching_codec_tokens/000546.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
28,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000574.mp3,outputs/generated/teaching_codec_tokens/000574.tokens.pt,outputs/generated/teaching_codec_tokens/000574.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
29,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000602.mp3,outputs/generated/teaching_codec_tokens/000602.tokens.pt,outputs/generated/teaching_codec_tokens/000602.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
30,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000615.mp3,outputs/generated/teaching_codec_tokens/000615.tokens.pt,outputs/generated/teaching_codec_tokens/000615.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
31,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000620.mp3,outputs/generated/teaching_codec_tokens/000620.tokens.pt,outputs/generated/teaching_codec_tokens/000620.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
32,encoded,CODE/datasets/FMA_small/fma_small/fma_small/000/000621.mp3,outputs/generated/teaching_codec_tokens/000621.tokens.pt,outputs/generated/teaching_codec_tokens/000621.json,teaching_logmel_quantizer,24000,4.0,16,512,1024,256,16x188
